genome_name,source,species,resistance_profile,sra_accession,ST,location
EPMN102,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387955,529,Thailand:Nakhon Ratchasima
EPMN107,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387953,511,Thailand:Nakhon Ratchasima
EPMN110,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387950,Novel ST,Thailand:Nakhon Ratchasima
EPMN130,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387946,23,Thailand:Nakhon Ratchasima
EPMN131,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387945,167,Thailand:Nakhon Ratchasima
EPMN174,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388114,203,Thailand:Nakhon Ratchasima
EPMN182,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388112,529,Thailand:Nakhon Ratchasima
EPMN193,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388110,93,Thailand:Nakhon Ratchasima
EPNK004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388105,Novel ST,Thailand:Nong Khai
EPNK005,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388104,Novel ST,Thailand:Nong Khai
EPNK007,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388103,167,Thailand:Nong Khai
EPNK008,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388102,315,Thailand:Nong Khai
EPNK009,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388101,376,Thailand:Nong Khai
EPNK010,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388100,163,Thailand:Nong Khai
EPNK011,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388099,167,Thailand:Nong Khai
EPNK013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388098,10,Thailand:Nong Khai
EPNK016,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388096,93,Thailand:Nong Khai
EPNK018,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388095,307,Thailand:Nong Khai
EPNK019,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388094,Novel ST,Thailand:Nong Khai
EPNK020,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388093,162,Thailand:Nong Khai
EPNK022,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388092,203,Thailand:Nong Khai
EPNK025,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388091,162,Thailand:Nong Khai
EPNK029,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388090,10,Thailand:Nong Khai
EPNK038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387782,511,Thailand:Nong Khai
EPNK039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387781,99,Thailand:Nong Khai
EPNK044,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387780,10,Thailand:Nong Khai
EPNK046,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387778,167,Thailand:Nong Khai
EPNK047,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387777,511,Thailand:Nong Khai
EPNK049,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387776,306,Thailand:Nong Khai
EPNK052,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387775,1827,Thailand:Nong Khai
EPNK055,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387774,58,Thailand:Nong Khai
EPNK056,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387773,874,Thailand:Nong Khai
EPNK057,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387772,10,Thailand:Nong Khai
EPNK061,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387771,10,Thailand:Nong Khai
EPNK064,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387770,1465,Thailand:Nong Khai
EPNK068,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387769,389,Thailand:Nong Khai
EPNK073,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387767,70,Thailand:Nong Khai
EPNK076,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387766,54,Thailand:Nong Khai
EPNK077,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387765,167,Thailand:Nong Khai
EPNK082,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387764,10,Thailand:Nong Khai
EPNK085,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387763,16,Thailand:Nong Khai
EPNK087,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387762,884,Thailand:Nong Khai
EPNK090,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387761,1534,Thailand:Nong Khai
EPNK093,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387760,167,Thailand:Nong Khai
EPNK096,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387759,Novel ST,Thailand:Nong Khai
EPNK099,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387758,376,Thailand:Nong Khai
EPNK103,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387756,70,Thailand:Nong Khai
EPNK107,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387755,176,Thailand:Nong Khai
EPNK108,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387754,306,Thailand:Nong Khai
EPNK113,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387753,519,Thailand:Nong Khai
EPNK115,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387752,10,Thailand:Nong Khai
EPNK119,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27387751,392,Thailand:Nong Khai
EPNK123,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388089,206,Thailand:Nong Khai
EPNK128,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388088,519,Thailand:Nong Khai
EPNK131,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388087,1777,Thailand:Nong Khai
EPNK137,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388086,23,Thailand:Nong Khai
EPNK144,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388084,70,Thailand:Nong Khai
EPNK146,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388083,684,Thailand:Nong Khai
EPNK150,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388082,10,Thailand:Nong Khai
EPNK154,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388081,10,Thailand:Nong Khai
EPNK158,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388080,830,Thailand:Nong Khai
EPNK163,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388079,300,Thailand:Nong Khai
EPNK169,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388078,519,Thailand:Nong Khai
EPNK178,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388077,70,Thailand:Nong Khai
EPNK193,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388076,372,Thailand:Nong Khai
EPNK195,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ; Not determined: IPM",SRR27388075,1777,Thailand:Nong Khai
EPNP202,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388070,176,Thailand:Nakhon Phanom
EPNP203,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388069,54,Thailand:Nakhon Phanom
EPSK001,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388067,46,Thailand:Sisaket
EPSK003,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388066,219,Thailand:Sisaket
EPSK004,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388065,219,Thailand:Sisaket
EPSK005,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388064,70,Thailand:Sisaket
EPSK013,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388062,526,Thailand:Sisaket
EPSK017,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388061,526,Thailand:Sisaket
EPSK022,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388060,Novel ST,Thailand:Sisaket
EPSK027,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388059,520,Thailand:Sisaket
EPSK038,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27388058,520,Thailand:Sisaket
EPSK039,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387942,520,Thailand:Sisaket
EPSK040,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387941,70,Thailand:Sisaket
EPSK048,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387940,174,Thailand:Sisaket
EPSK052,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387939,654,Thailand:Sisaket
EPSK054,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387938,654,Thailand:Sisaket
EPSK058,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387936,10,Thailand:Sisaket
EPSK060,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387935,33,Thailand:Sisaket
EPSK065,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387934,512,Thailand:Sisaket
EPSK069,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387933,54,Thailand:Sisaket
EPSK073,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387932,Novel ST,Thailand:Sisaket
EPSK077,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387931,93,Thailand:Sisaket
EPSK081,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387930,167,Thailand:Sisaket
EPSK086,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387929,Novel ST,Thailand:Sisaket
MSHR0052,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC, IPM",SRR5818275,a,Australia
MSHR0492,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075119,,
MSHR0535,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075120,,
MSHR0647,Patient,B. pseudomallei,"Susceptible to MEM, AMC; Not determined: SXT, IPM",SRR6075117,,
MSHR0664,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC, IPM; Not determined: ",SRR5927082,a,Australia
MSHR0678,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC; Not determined: IPM",SRR6075118,,
MSHR0800,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, IPM; Not determined: AMC",SRR6075115,,
MSHR0913,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",SRR3404575,,
MSHR0934,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075116,,
MSHR0937,Patient,B. pseudomallei,"Resistant to MEM, AMC; Susceptible to SXT, IPM",SRR2886988,a,Australia
MSHR1053,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC;",SRR3404578,,
MSHR1141,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075113,,
MSHR1300,Patient,B. pseudomallei,"Resistant to MEM, TZ; Susceptible to SXT, AMC, IPM",SRR6075114,,
MSHR3763,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR2887021,a,Australia
MSHR4083,Patient,B. pseudomallei,"Resistant to MEM, SXT; Susceptible to AMC, IPM",SRR2887030,a,Australia
MSHR5651,Patient (CF),B. pseudomallei,"Resistant to ; Susceptible to CAZ, MEM, SXT, AMC",SRR3381886,,
MSHR5654,Patient (CF),B. pseudomallei,"Resistant to CAZ, SXT, ; Susceptible to MEM, AMC",NA,a,Australia
MSHR5655,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",SRR3382211,,
MSHR5656,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",NA,,
MSHR5662,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",SRR3381885,,
MSHR5665,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",NA,,
MSHR5666,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",NA,,
MSHR5667,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",NA,,
MSHR5669,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC",NA,,
MSHR5670,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",NA,,
MSHR5864,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075121,a,Australia
MSHR6522,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075128,a,Australia
MSHR6755,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC, IPM",SRR6075122,a,Australia
MSHR7587,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC; Not determined: IPM",SRR6075129,,
MSHR7929,Patient,B. pseudomallei,"Resistant to MEM, SXT; Susceptible to AMC, IPM",SRR6075126,a,Australia
MSHR8436,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",SRR3381934,a,Australia
MSHR8437,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",NA,,
MSHR8438,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",SRR3382015,a,Australia
MSHR8440,Patient (CF),B. pseudomallei,"Susceptible to CAZ, MEM, SXT, AMC",NA,,
MSHR8441,Patient (CF),B. pseudomallei,"Resistant to CAZ, TMEM/SMX; Susceptible to MEM, AMC;",SRR3382162,,
MSHR8442,Patient (CF),B. pseudomallei,"Resistant to SXT; Susceptible to CAZ, MEM, AMC;",NA,,
MSHR8481,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, AMC, IPM",SRR6075123,a,Australia
MSHR8544,Patient,B. pseudomallei,"Susceptible to MEM, SXT, AMC; Not determined: IPM",SRR6075125,a,Australia
MSHR9021,Patient,B. pseudomallei,"Resistant to MEM; Susceptible to SXT, IPM; Not determined: AMC",SRR6075127,,
MSHR9039,Patient,B. pseudomallei,"Susceptible to MEM, SXT; Not determined: AMC, IPM",SRR6075124,,
SH007,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388142,70,Thailand:Khon Kaen
SH008,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388141,70,Thailand:Khon Kaen
SH009,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388139,526,Thailand:Khon Kaen
SH010,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388138,526,Thailand:Khon Kaen
SH011,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388137,526,Thailand:Khon Kaen
SH012,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388136,Novel ST,Thailand:Khon Kaen
SH016,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388132,70,Thailand:Khon Kaen
SH017,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388131,70,Thailand:Khon Kaen
SH018,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388130,174,Thailand:Khon Kaen
SH020,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388127,654,Thailand:Khon Kaen
SH021,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388126,654,Thailand:Khon Kaen
SH022,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388125,654,Thailand:Khon Kaen
SH023,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388124,70,Thailand:Khon Kaen
SH026,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387878,34,Thailand:Khon Kaen
SH027,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387877,34,Thailand:Khon Kaen
SH028,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387876,33,Thailand:Khon Kaen
SH029,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387874,33,Thailand:Khon Kaen
SH030,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387873,Novel ST,Thailand:Khon Kaen
SH031,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387872,Novel ST,Thailand:Khon Kaen
SH032,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387871,17,Thailand:Khon Kaen
SH033,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387870,831,Thailand:Khon Kaen
SH034,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387869,70,Thailand:Khon Kaen
SH035,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387868,70,Thailand:Khon Kaen
SH036,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387867,512,Thailand:Khon Kaen
SH037,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387866,512,Thailand:Khon Kaen
SH038,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387865,56,Thailand:Khon Kaen
SH039,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387863,500,Thailand:Khon Kaen
SH040,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387862,500,Thailand:Khon Kaen
SH041,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387861,34,Thailand:Khon Kaen
SH042,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387860,34,Thailand:Khon Kaen
SH043,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387859,34,Thailand:Khon Kaen
SH044,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387858,34,Thailand:Khon Kaen
SH045,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387857,34,Thailand:Khon Kaen
SH046,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387856,306,Thailand:Khon Kaen
SH047,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387855,306,Thailand:Khon Kaen
SH048,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387854,306,Thailand:Khon Kaen
SH049,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387851,512,Thailand:Khon Kaen
SH050,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387850,512,Thailand:Khon Kaen
SH051,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387849,512,Thailand:Khon Kaen
SH052,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387848,512,Thailand:Khon Kaen
SH053,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387847,512,Thailand:Khon Kaen
SH054,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388025,512,Thailand:Khon Kaen
SH055,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388024,512,Thailand:Khon Kaen
SH056,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388023,306,Thailand:Khon Kaen
SH057,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388022,17,Thailand:Khon Kaen
SH059,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388019,Novel ST,Thailand:Khon Kaen
SH060,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388018,70,Thailand:Khon Kaen
